,publication,ideology,title,total_words,total_hedge_words,hedge_perc_words,total_sentences,total_hedge_sentences,hedge_perc_sentences
0,infowars,RCON,"reported florida shooter dressed as communist, supported isis",182,10,5.49,8,6,75.0
1,infowars,RCON,"family says florida school shooter autistic, may have been on medication",462,11,2.38,25,8,32.0
2,nyt,L,flashes of rage. family loss. nikolas cruz’s lifetime of trouble.,1828,6,0.33,98,6,6.12
3,nyt,L,florida shooting: nikolas cruz is charged with 17 counts of murder,700,1,0.14,36,1,2.78
4,breitbart,RR,report: fbi warned about potential school shooter named nikolas cruz in september,259,1,0.39,12,1,8.33
5,breitbart,RR,doubts grow about claims florida shooter tied to white supremacist group,549,7,1.28,19,6,31.58
6,foxnews,R,"parkland high school shooting: at least 17 killed, suspect in custody, florida sheriff says",1083,5,0.46,57,5,8.77
7,foxnews,R,"nikolas cruz was living with florida high school student in months leading up to shooting, attorney says",876,7,0.8,40,6,15.0
8,huffpost,LL,at least 17 dead after troubled former student allegedly opens fire on florida high school,1814,3,0.17,93,3,3.23
9,huffpost,LL,officials haven’t found evidence linking florida shooting suspect to white supremacists,626,11,1.76,31,8,25.81
10,usatoday,C,'i'm sick to my stomach': 17 dead in florida high school shooting; former student in custody,1213,2,0.16,66,2,3.03
11,usatoday,C,"'disturbing' instagram posts: what nikolas cruz, suspected in florida shooting, did online",728,6,0.82,36,6,16.67
